T(align.chunk),T(align.chunk.lemm),T(term),S(term),source,class
_PRO_moj _A_prethodan _N_obrazovanje,_PREF_i _PRO_moj _A_prethodan _N_obrazovanje,_A_prethodan _N_obrazovanje,_ADJ_educational_NOUN_background,1,1
_A_jezički _N_fenomen,_A_jezički _N_fenomen _PREF_i,_A_jezički _N_fenomen,_ADJ_linguistic_NOUN_phenomenon,1,0
online _N_kurs,online _N_kurs,online _N_kurs,_NOUN_online_NOUN_course,1,1
_N_servis _PREF_u _N_oblak,_N_servis _PREF_u _N_oblak,_N_servis _PREF_u _N_oblak,_NOUN_cloud_NOUN_service,1,1
_N_okruženje _PREF_za _N_upravljanje _N_proces _N_učenje,_N_okruženje _PREF_za _N_upravljanje _N_proces _N_učenje,_N_okruženje _PREF_za _N_upravljanje _N_proces _N_učenje,_NOUN_management_NOUN_environment,1,0
_A_referentan _N_odeljak,_A_referentan _N_odeljak,_A_referentan _N_odeljak,_NOUN_reference_NOUN_section,1,0
_N_platforma _N_atlas,_PREF_u _N_platforma _N_atlas,_N_platforma _N_atlas,_NOUN_atlas_VERB_platform,1,1
_A_glavni _N_urednik _PRO_ona,a _A_glavni _N_urednik _PREF_su _V_biti,_A_glavni _N_urednik,_NOUN_chief_NOUN_editor,0,1
_N_predstava _A_televizijski _N_emisija,_N_predstava _A_televizijski _N_emisija,_N_predstava _A_televizijski _N_emisija,_NOUN_television_NOUN_show,1,0
_PRO_ona _N_član _N_grupa _V_dati,_PRO_ona _N_član _N_grupa,_N_grupa _PREF_od _N_član,_NOUN_group_PRT_'s_NOUN_member,1,0
_PREF_i _N_upravljanje _N_baza,_PREF_i _N_upravljanje _V_bazati,_N_upravljanje _V_bazati,_NOUN_management,0,0
_PREF_užestručnih _N_termin,_PREF_užestručnih _N_termin,_PREF_užestručnih _N_termin,_ADJ_technical_NOUN_term,0,1
_A_štamparski _N_aktivnost,_A_štamparski _N_aktivnost,_A_štamparski _N_aktivnost,_VERB_printing_NOUN_activity,1,1
_N_list _N_knjiga,_N_list _N_knjiga _PREF_u,_N_list _N_knjiga,_NOUN_book_NOUN_list,0,1
jer _PRO_ona _PRO_taj _N_oblik _N_komunikacija,_PRO_ona _PRO_taj _N_oblik _N_komunikacija,_N_oblik _N_komunikacija,_NOUN_form_ADP_of_NOUN_communication,1,1
_N_sfera _A_informacioni _N_tehnologija,_PREF_u _N_sfera _A_informacioni _N_tehnologija,_N_sfera _A_informacioni _N_tehnologija,_NOUN_information_NOUN_technology,0,0
_A_vredan _N_podatak,_A_vredan _N_podatak,_A_vredan _N_podatak,_ADJ_valuable_NOUN_data,1,1
_N_biblioteka _N_konzorcijum _N_biblioteka ili,_N_biblioteka _N_konzorcijum _N_biblioteka,_N_konzorcijum _N_biblioteka,_NOUN_library_NOUN_consortium,0,1
sa _A_ukupan _N_frekvencija,sa _A_ukupan _N_frekvencija ili,_A_ukupan _N_frekvencija,_NOUN_frequency,0,0
_N_sufiks _PREF_po _N_frekventnost,_N_sufiks _PREF_po _N_frekventnost,_N_sufiks _PREF_po _N_frekventnost,_NOUN_suffix_ADP_by_NOUN_frequency,1,0
_V_meriti _N_evaluacija,_N_mera _N_evaluacija,_N_mera _N_evaluacija,_NOUN_evaluation_NOUN_measure,1,1
_N_računar _N_tableta ili,_N_računar ili _N_tableta a _PREF_u,_N_računar _N_tableta,_NOUN_tablet_NOUN_computer,0,1
_N_konvertovanje metapodataka,_N_konvertovanje metapodataka,_N_konvertovanje metapodataka,_NOUN_conversion_ADP_of_NOUN_metadata,1,1
_V_tačkati _A_zapet,_V_tačkati _PREF_i _A_zapet,_A_zapet _V_tačkati,_NOUN_semicolon,0,0
_PREF_i _A_izdavački _N_kuća,_A_izdavački _N_kuća _PREF_i,_A_izdavački _N_kuća,_NOUN_publishing_NOUN_house,0,1
_A_osnovni _N_termin,_A_osnovni _N_termin,_A_osnovni _N_termin,_ADJ_basic_NOUN_term,1,1
_A_potreban _N_informacija ili,sa _N_informacija _PRO_koji _PREF_su _PRO_oni _A_potreban,_PRO_sam _PREF_do _A_potreban _N_informacija,_NOUN_information_VERB_need,0,0
_N_sadržaj _N_dokument,_N_sadržaj _PREF_i _N_dokument,_N_sadržaj _N_dokument,_NOUN_document_VERB_content,1,1
_PREF_u _N_tekst _PREF_u _A_elektronski _N_oblik,_PREF_u _N_tekst _PREF_u _A_elektronski _N_oblik _PREF_na,_N_tekst _PREF_u _A_elektronski _N_oblik,_ADJ_electronic_NOUN_text,1,1
_PREF_i _A_sistemski _N_zahtev,_PREF_i _A_sistemski _N_zahtev,_A_sistemski _N_zahtev,_NOUN_system_NOUN_requirement,0,1
_V_slikati _N_biblioteka _PREF_i,_V_slikati _N_biblioteka,_V_slikati _N_biblioteka,_NOUN_library_NOUN_image,0,1
_PRO_isti _N_oblast,_PRO_isti _N_oblast,_PRO_isti _N_oblast,_NOUN_field,0,0
_PRO_koji _PREF_u _PRO_svoj _A_digitalan _N_obličje,_PREF_u _PRO_sav _A_digitalan _N_obličje,_A_digitalan _N_obličje,_ADJ_digital_NOUN_form,1,1
_PREF_u _N_skladište _N_podatak,_V_skladištiti _N_podatak,_V_skladištiti _N_podatak,_NOUN_data_VERB_store,1,1
_PREF_u _A_fiksni _N_zarez,_PREF_s _A_fiksni _N_zarez,_A_fiksni _N_zarez,_VERB_fixed_NOUN_point,1,0
_A_ključan _N_element _N_uspostavljanje,_A_ključan _N_element _N_uspostavljanje,_A_ključan _N_element _N_uspostavljanje,_ADJ_key_NOUN_element,1,0
_A_dnevni _N_list _PREF_i,_A_dnevni _N_list,_A_dnevni _N_list,_NOUN_newspaper,0,1
_A_informacioni _N_opismenjavanje,_PREF_i _A_informacioni _N_opismenjavanje,_A_informacioni _N_opismenjavanje,_NOUN_information_NOUN_literacy,0,1
_PRO_ona _N_stereotip _N_bibliotekar _N_štreber,_N_stereotip _N_bibliotekar _N_štreber,_N_stereotip _N_bibliotekar _N_štreber,_NOUN_stereotype_ADP_of_ADJ_librarian,1,0
_A_softverski _N_proizvod,_A_softverski _N_proizvod _PREF_i,_A_softverski _N_proizvod,_NOUN_software_NOUN_product,1,1
_N_anketa _PREF_o _N_poslovanje _PREF_u,_N_anketa _PREF_o _N_poslovanje,_N_anketa _PREF_o _N_poslovanje,_NOUN_questionnaire_ADP_on_NOUN_library_NOUN_work,1,0
_N_korisnik _PREF_i _N_servis,_N_servis _PRO_sav _N_korisnik,_N_servis _N_korisnik,_NOUN_user_NOUN_service,0,1
_A_zaštitni _N_kopija _PRO_koji _PRO_sebe,_A_zaštitni _N_kopija _PRO_koji _PRO_sebe,_A_zaštitni _N_kopija,_NOUN_copy,0,0
_A_sopstven _N_viđenje,_A_sopstven _N_viđenje,_A_sopstven _N_viđenje,_NOUN_view,0,0
_A_centralni _N_registar,_A_centralni _N_registar,_A_centralni _N_registar,_ADJ_central_NOUN_registry,1,1
_N_bibliotekar _N_usedelica,kao _N_bibliotekar _N_usedelica,_N_bibliotekar _N_usedelica,_ADJ_librarian_NOUN_spinster,1,1
_A_autorski _V_delati,_A_autorski _N_deo _PREF_u,_A_autorski _N_deo,_NOUN_copyright_NOUN_work,0,1
_N_forma _N_priručnik,_N_forma _N_priručnik _PREF_za,_N_forma _N_priručnik,_NOUN_handbook,0,0
_A_zakonski _N_smisao,_A_zakonski _N_smisao _V_jesam,_A_zakonski _N_smisao,_ADJ_legal_NOUN_term,1,0
ekstrahovanje _N_informacija _PREF_i,ekstrahovanje _N_informacija _PREF_i,ekstrahovanje _N_informacija,_NOUN_extraction_NOUN_system,1,0
_PRO_naš _N_biblioteka _PREF_iz _N_sistem,_N_biblioteka _PREF_iz _N_sistem,_N_biblioteka _PREF_iz _N_sistem,_NOUN_library_NOUN_system,0,0
_A_akademski _N_časopis,_A_akademski _N_časopis,_A_akademski _N_časopis,_ADJ_academic_ADJ_journal,1,1
_A_glavni _N_urednik,_A_glavni _N_urednik,_A_glavni _N_urednik,_NOUN_editor,0,0
_PREF_u _A_realan _A_svet,_A_realan _A_svet,_A_realan _A_svet,_ADJ_real_NOUN_world,1,1
_PREF_i _N_usklađivanje _N_program _N_predmet,_PREF_i _N_usklađivanje _N_program _N_predmet,_N_usklađivanje _N_program _N_predmet,_NOUN_subject_VERB_content,0,0
_PREF_i _A_nov _N_sad,_PREF_iz _A_nov _N_sad,_A_nov _N_sad,_NOUN_novi_VERB_sad,1,1
_A_bibliografski _V_zapisati _PREF_iz,_A_bibliografski _N_zapis _PREF_od,_A_bibliografski _N_zapis,_ADJ_bibliographic_NOUN_record,0,1
_A_prirodan _A_jezički,kao _A_prirodan _A_jezički,_A_prirodan _A_jezički,_ADJ_natural_NOUN_language,0,0
_N_link _N_podatak,_N_link _N_podatak _PREF_o,_N_podatak sa _N_link,_NOUN_link,0,0
_PRO_ona _N_tip _N_knjiga,_PRO_ona _N_tip _N_knjiga _PREF_i,_N_tip _N_knjiga,_NOUN_book_NOUN_type,0,1
_A_kontrolisan _N_rečnik,_A_kontrolisan _N_rečnik,_A_kontrolisan _N_rečnik,_VERB_controlled_ADJ_vocabulary,1,1
_N_prinadležnost _N_biblioteka,_N_prinadležnost _N_biblioteka _PREF_i,_N_prinadležnost _N_biblioteka,_NOUN_library_VERB_fund,1,1
_A_društven _N_program _N_konferencija,_A_društven _N_program _N_konferencija,_A_društven _N_program _N_konferencija,_NOUN_program_ADJ_social,1,0
_V_vrstati _N_korisnik _PREF_i,_V_vrstati _N_korisnik _PREF_i _PRO_koji,_V_vrstati _N_korisnik,_NOUN_user_NOUN_type,0,1
_PRO_isti _N_kategorija _A_specijalan _N_biblioteka,_PRO_isti _N_kategorija _A_specijalan _N_biblioteka,_PRO_isti _N_kategorija _A_specijalan _N_biblioteka,_NOUN_category_ADP_of_ADJ_special_NOUN_library,1,0
_N_proširivanje _N_projekt _PRO_koji,_N_proširivanje _N_projekt _PRO_koji _PREF_su,_N_projekt _N_proširivanje,_NOUN_project_VERB_enhancement,1,1
_N_klasa _N_reč,_V_klasati _N_reč,_N_reč _PREF_u _V_klasati,_NOUN_word_NOUN_class,0,0
_A_društven _N_program,_A_društven _N_program _PRO_koji,_A_društven _N_program,_NOUN_program_ADJ_social,1,0
_PRO_koji _A_drugi _N_dobavljač _V_bazati _N_podatak,_A_drugi _N_dobavljač _V_bazati _N_podatak,_A_drugi _N_dobavljač _V_bazati _N_podatak,_NOUN_database_NOUN_vendor,0,0
_N_nabavka _A_bibliotečki _N_građa,_N_nabavka _A_bibliotečki _N_građa,_N_nabavka _A_bibliotečki _N_građa,_VERB_checking,0,0
_PREF_i _A_redak _N_knjiga,_PREF_i _A_redak _N_knjiga _PREF_i,_A_redak _N_knjiga,_NOUN_rare_VERB_book,0,1
_A_socijalan _N_aspekt,_A_socijalan _N_aspekt,_A_socijalan _N_aspekt,_ADJ_social_NOUN_aspect,1,1
_N_kultura poput _N_biblioteka,_N_kultura poput _N_biblioteka,_N_kultura poput _N_biblioteka,_NOUN_library_ADP_of_NOUN_culture,1,0
_N_značenje _N_reč,_PREF_i _N_značenje _N_reč,_N_reč _N_značenje,_VERB_meaning_ADP_of_NOUN_word,1,0
_PREF_su _PRO_isti _V_usloviti,_PRO_isti _N_uslov,_PRO_isti _N_uslov,_NOUN_facility,0,0
_A_osnovni _N_struktura,_A_osnovni _N_struktura,_A_osnovni _N_struktura,_ADJ_basic_NOUN_structure,1,1
_N_magazin sa _N_strip,_N_magazin sa _N_strip,_N_magazin sa _N_strip,_ADJ_comic,0,0
_A_pravni _N_lice _PREF_iz,_A_pravni _N_lice _PREF_iz,_A_pravni _N_lice,_NOUN_entity,0,1
_A_aerodromski _N_biblioteka _PREF_na _A_svet,_A_aerodromski _N_biblioteka _PREF_na _A_svet,_A_aerodromski _N_biblioteka _PREF_na _A_svet,_NOUN_airport_NOUN_library,1,0
_N_figura _N_komparacija a,_N_figura _N_komparacija _PREF_u,_N_figura _N_komparacija,_NOUN_figure_ADP_simile,1,1
_A_korišćen _N_koncept,_A_korišćen _N_koncept,_A_korišćen _N_koncept,_ADJ_natural_NOUN_language,0,0
_A_digitalan _N_sredina,_A_digitalan _N_sredina,_A_digitalan _N_sredina,_ADJ_digital_NOUN_environment,1,1
_A_građevinski _N_blok,_A_građevinski _N_blok,_A_građevinski _N_blok,_NOUN_building_NOUN_block,1,1
_N_komunikacija sa _N_korisnik,_N_komunikacija sa _N_korisnik,_N_komunikacija sa _N_korisnik,_NOUN_communication_ADP_between_NOUN_user,1,0
_V_brojati _A_stran _N_recenzent,_V_brojati _A_stran _N_recenzent,_V_brojati _A_stran _N_recenzent,_ADJ_reviewer,0,0
_N_izvor _N_informacija,_N_izvor _N_informacija,_N_informacija _PREF_o _N_izvor,_NOUN_source_NOUN_information,1,0
_A_serijski _N_publikacija,_A_serijski _N_publikacija,_A_serijski _N_publikacija,_ADJ_serial_NOUN_publication,0,1
_A_javan _N_biblioteka _PREF_u _PRO_naš,_PREF_i _A_javan _N_biblioteka,_A_javan _N_biblioteka,_ADJ_public_NOUN_library,0,1
_N_definicija _N_servis _V_hteti,_PREF_i _N_definicija _N_servis,_N_definicija _N_servis,_NOUN_service_NOUN_definition,1,1
_N_pisanje _N_papir,_PREF_za _N_pisanje _N_papir,_N_pisanje _N_papir,_VERB_writing_NOUN_paper,0,0
_PREF_iz _N_područje _A_humanistički _N_nauk,_PREF_iz _N_područje _A_humanistički _N_nauk,_N_područje _A_humanistički _N_nauk,_NOUN_field_ADP_of_NOUN_humanity,1,1
_A_figurativan _N_govor,_A_figurativan _N_govor _PREF_u,_A_figurativan _N_govor,_ADJ_figurative_NOUN_language,1,0
_N_tvorba _N_reč,_N_tvorba _N_reč,_N_tvorba _N_reč,_NOUN_word_NOUN_formation,1,1
_A_bibliotečki _N_služba,_A_bibliotečki _N_služba,_A_bibliotečki _N_služba,_NOUN_library_NOUN_service,0,1
_PREF_i _A_urbanistički _N_planiranje,_PREF_i _A_urbanistički _N_planiranje,_A_urbanistički _N_planiranje,_NOUN_urban_VERB_planning,1,1
_PRO_ona ne _PRO_sam _N_mehanizam _PREF_za _N_prevođenje,_N_mehanizam _PREF_za _N_prevođenje,_N_mehanizam _PREF_za _N_prevođenje,_NOUN_translation_NOUN_engine,1,1
_A_matematički _N_formula _PRO_ona,_A_matematički _N_formula,_A_matematički _N_formula,_ADJ_mathematic_NOUN_equation,1,0
_PRO_ona _N_stereotip _N_bibliotekar,_PRO_ona _N_stereotip _N_bibliotekar,_N_stereotip _PREF_o _N_bibliotekar,_NOUN_stereotype_ADP_of_ADJ_librarian,1,1
_A_konačan _N_automat _PREF_i,_A_konačan _N_automat _PREF_i,_A_konačan _N_automat,_NOUN_state_VERB_automaton,1,0
_A_glagolski _N_oblik _PRO_koji,_A_glagolski _N_oblik kao,_A_glagolski _N_oblik,_NOUN_verb_NOUN_form,1,1
a _PREF_po _A_krivičan _N_zakon,a _PREF_po _A_krivičan _N_zakon,_A_krivičan _N_zakon,_ADJ_penal_NOUN_code,1,1
_N_mreža _N_reč _PREF_za _A_drugi _N_jezik,_N_mreža _N_reč _PREF_za _A_drugi _N_jezik,_N_mreža _N_reč _PREF_za _A_drugi _N_jezik,_NOUN_wordnet_ADP_of_ADJ_other_NOUN_language,1,0
_V_vesti sa _A_autorski _A_prav _PREF_na,_PREF_u _V_vezati sa _A_autorski _A_prav,_V_vezati sa _A_autorski _A_prav,_NOUN_copyright,0,0
_A_međunarodan _N_konferencija,_PREF_na _A_međunarodan _N_konferencija,_A_međunarodan _N_konferencija,_ADJ_international_NOUN_conference,1,1
_A_statistički _N_metoda,_A_statistički _N_metod,_A_statistički _N_metod,_ADJ_statistical_NOUN_method,0,1
_A_jezički _N_struktura _PREF_nad,_A_jezički _N_struktura _PREF_na,_A_jezički _N_struktura,_ADJ_linguistic_NOUN_structure,1,0
_A_stručan _N_pojam _PREF_iz,_A_stručan _N_pojam _PREF_iz,_A_stručan _N_pojam,_ADJ_technical_NOUN_term,0,0
_N_element _N_klasa,_N_element _V_klasati,_N_element _V_klasati,_NOUN_category,0,0
_N_mogućnost _PREF_za _N_dostavljanje _N_dokument,_N_mogućnost _PREF_za _N_dostavljanje _N_dokument,_N_mogućnost _PREF_za _N_dostavljanje _N_dokument,_ADJ_traditional_NOUN_service,1,0
_PREF_u _A_tekstuelan _A_konfiguracioni _N_datoteka,_A_tekstuelan _A_konfiguracioni _N_datoteka,_A_tekstuelan _A_konfiguracioni _N_datoteka,_NOUN_text_NOUN_file,0,0
_N_mogućnost _PRO_njihov _N_proširivanje,_N_mogućnost _PRO_njihov _N_proširivanje,_N_mogućnost _N_proširivanje,_NOUN_scalability,0,1
_A_digitalizovan _N_objekt,_A_digitalizovan _N_objekt,_A_digitalizovan _N_objekt,_NOUN_object,0,0
_PRO_ona _N_delo _PREF_u _A_javan _N_domen,_N_delo _PREF_u _A_javan _N_domen,_N_delo _PREF_u _A_javan _N_domen,_NOUN_work_ADP_in_ADJ_public_NOUN_domain,0,1
a _N_organizacija _A_rad _PRO_sebe,a _N_organizacija _A_rad,_N_organizacija _A_rad,_NOUN_organization_ADP_of_NOUN_work,1,1
ili _V_biti _PRO_koji _A_drugi _N_master,_V_biti _PRO_koji _A_drugi _N_master,_A_drugi _N_master,_NOUN_master,0,0
_PREF_po _N_pitanje _A_intelektualan _N_svojina,_N_pitanje _A_intelektualan _N_svojina,_N_pitanje _A_intelektualan _N_svojina,_ADJ_intellectual_NOUN_property,0,0
_A_preteran _N_normalizacija,_A_preteran _N_normalizacija,_A_preteran _N_normalizacija,_ADJ_excessive_NOUN_normalization,1,1
_N_sadržaj _A_multimedijalan _N_dokument,_N_sadržaj _A_multimedijalan _N_dokument,_N_sadržaj _A_multimedijalan _N_dokument,_NOUN_content_ADP_of_NOUN_multimedia_NOUN_document,1,1
_PREF_i _A_kulturan _N_baština,_A_kulturan _N_baština,_A_kulturan _N_baština,_ADJ_cultural_NOUN_heritage,1,1
_A_tačan _N_prepoznavanje,_A_tačan _N_prepoznavanje,_A_tačan _N_prepoznavanje,_NOUN_correct_NOUN_recognition,1,1
_PRO_sam _N_realizacija _N_anotacija,_PRO_ona _PRO_sam _N_realizacija _N_anotacija,_PRO_sam _N_realizacija _N_anotacija,_NOUN_annotation,0,0
_A_strukturni _V_delovati,_A_strukturni _N_deo,_A_strukturni _N_deo,_NOUN_section,0,1
_PREF_i _N_predstava _PREF_o _N_gubljenje,_N_predstava _PREF_o _N_gubljenje,_N_predstava _PREF_o _N_gubljenje,_NOUN_image,0,0
_A_naučni _N_dokument _PREF_i,_A_naučni _N_dokument _PREF_i,_A_naučni _N_dokument,_ADV_supply,0,0
_PREF_iz viki _N_tehnologija,_PREF_i viki _N_tehnologija,viki _N_tehnologija,_NOUN_wiki_NOUN_technology,1,1
_A_onlajn _N_kurs _PREF_na,_A_onlajn _N_kurs,_A_onlajn _N_kurs,_NOUN_online_NOUN_course,1,1
_PREF_i _A_ponovan _N_korišćenje _PREF_od,_PREF_i _A_ponovan _N_korišćenje _PREF_od,_A_ponovan _N_korišćenje,_NOUN_reuse,0,1
_N_knjiga _PREF_u _A_elektronski,_A_elektronski _N_knjiga ili,_A_elektronski _N_knjiga,_ADJ_electronic_NOUN_book,1,1
_N_faza _N_uvođenje,_N_faza _N_uvođenje,_N_faza _N_uvođenje,_NOUN_phase,0,0
_A_bibliotečki _N_organizacija,_PREF_i _A_bibliotečki _N_organizacija,_A_bibliotečki _N_organizacija,_NOUN_organization_ADP_of_NOUN_library,1,0
_PRO_ona _A_viši _N_knjiga,_A_viši _N_knjiga,_A_viši _N_knjiga,_NOUN_book_NOUN_number,0,0
_A_elektronski _N_servis _N_biblioteka,_A_elektronski _N_servis _N_biblioteka _PREF_i,_A_elektronski _N_servis _N_biblioteka,_ADJ_electronic_NOUN_library_NOUN_service,1,1
_PREF_u _A_opadajući _N_redosled,_A_opadajući _N_redosled,_A_opadajući _N_redosled,_VERB_descending_NOUN_order,0,1
_PREF_u _N_slučaj _N_jezik,_PREF_u _N_slučaj _N_jezik _PREF_nad,_N_slučaj sa _N_jezik,_NOUN_case_ADP_of_NOUN_language,1,0
fuzzy _N_logika,fuzzy _N_logika,fuzzy _N_logika,_NOUN_fuzzy_NOUN_logic,0,1
_N_ceremonija _N_postavljanje _A_kameni _N_temeljac,_N_ceremonija _N_postavljanje _A_kameni _N_temeljac,_N_ceremonija _N_postavljanje _A_kameni _N_temeljac,_NOUN_corner_NOUN_stone_NOUN_ceremony,1,1
flektivni _N_oblik,flektivni _N_oblik,flektivni _N_oblik,_ADJ_inflectional_NOUN_form,1,1
_A_nastavni _N_materijal _PREF_u,_A_nastavni _N_materijal,_A_nastavni _N_materijal,_NOUN_teaching_NOUN_material,0,1
_PREF_za _N_proces _N_čitanje a,_N_proces _N_čitanje,_PRO_sam _N_proces _N_čitanje,_NOUN_reading_NOUN_process,1,0
_A_profesionalan _N_obrazovanje _PREF_za,_PREF_za _A_profesionalan _N_obrazovanje _PREF_za,_A_profesionalan _N_obrazovanje,_ADJ_professional_NOUN_education,0,1
_A_jednostavan _V_iskazati,_A_jednostavan _N_iskaz,_A_jednostavan _N_iskaz,_NOUN_simple_NOUN_statement,1,1
_A_jezički _N_par,_A_jezički _N_par,_A_jezički _N_par,_NOUN_language_NOUN_pair,1,1
_V_delovati _N_korpus,_N_deo _N_korpus _PREF_za,_N_deo _N_korpus,_NOUN_subset,0,0
_PRO_ona _N_ulazak _N_časopis,_PRO_ona _N_ulazak _N_časopis,_N_ulazak _N_časopis,_NOUN_enter,0,0
_A_potpun _N_opis,_A_potpun _N_opis,_A_potpun _N_opis,_ADJ_complete_NOUN_description,1,1
_N_domen _N_biologija,_N_domen _N_biologija a,_N_domen _N_biologija,_NOUN_domain_ADP_of_NOUN_biology,1,1
_A_jezički _N_resurs,_A_jezički _N_resurs,_A_jezički _N_resurs,_ADJ_linguistic_NOUN_resource,1,0
_PREF_do _A_semantički _N_anotacija,_PREF_do _A_semantički _N_anotacija,_A_semantički _N_anotacija,_ADJ_semantic_NOUN_annotation,1,1
_PREF_iz _A_istraživački _N_biblioteka,_A_istraživački _N_biblioteka,_A_istraživački _N_biblioteka,_NOUN_research_NOUN_library,0,1
_N_element _N_klasa,_N_element _V_klasati,_V_klasati _N_element,_NOUN_m24_NOUN_category,1,0
_A_istorijski _N_građa _PREF_u _PRO_svoj,_A_istorijski _N_građa _PREF_u,_A_istorijski _N_građa,_ADJ_historical_NOUN_collection,1,0
_N_baza _N_podatak već,_V_bazati _N_podatak _PRO_koji _PRO_sebe,_PRO_sam _V_bazati _N_podatak,_NOUN_data_VERB_base,1,0
_PREF_i _A_visok _N_obrazovanje,_PREF_i _A_visok _N_obrazovanje,_A_visok _N_obrazovanje,_ADJ_higher_NOUN_education,0,1
_N_informacija _N_korisnik,_N_informacija _PREF_od _N_korisnik,_N_informacija _N_korisnik,_NOUN_information_ADP_on_NOUN_user,1,0
_PRO_koji _PRO_sebe _A_naučni _N_rad,_PRO_koji _PRO_sebe _A_naučni _A_rad,_A_naučni _A_rad,_ADJ_scientific_NOUN_paper,0,1
_A_naučni _N_metod,_A_naučni _N_metod,_A_naučni _N_metod _N_metod,_ADJ_scientific_NOUN_method,0,1
_PREF_i _A_raden _N_proces,_PREF_i _A_raden _N_proces,_A_raden _N_proces,_NOUN_work_NOUN_process,1,1
_A_tradicionalan _V_poslovati _PREF_u _N_biblioteka _PRO_sebe,_A_tradicionalan _V_posati _PREF_u _N_biblioteka _PRO_sebe,_A_tradicionalan _V_posati _PREF_u _N_biblioteka,_ADJ_traditional_NOUN_library_NOUN_service,0,0
_PREF_iz _PRO_njegov _A_poslednji _N_pismo,_PREF_iz _PRO_njegov _A_poslednji _V_piti,_A_poslednji _V_piti,_NOUN_letter,0,0
_PRO_ona _A_specijalan _N_biblioteka,_PRO_ona _A_specijalan _N_biblioteka,_A_specijalan _N_biblioteka,_ADJ_special_NOUN_library,1,1
_N_prepoznavanje _A_retorički _N_figura,_N_prepoznavanje _A_retorički _N_figura _PREF_u,_N_prepoznavanje _A_retorički _N_figura,_NOUN_recognition_ADP_of_ADJ_rhetorical_NOUN_figure,1,1
_A_severni amerika,_A_severni amerika,_A_severni amerika,_ADJ_north_NOUN_america,1,1
_N_korpus _N_test,_N_korpus _N_test,_N_test _N_korpus,_NOUN_text_NOUN_corpus,1,0
_A_horizontalan _N_format _PREF_i,_A_horizontalan _N_format _PREF_i,_A_horizontalan _N_format,_ADJ_horizontal_NOUN_format,1,1
_A_federativni _N_pretraživanje,_A_federativni _N_pretraživanje,_A_federativni _N_pretraživanje,_VERB_federated_NOUN_search,0,1
_N_stav _N_uredništvo,_N_stav _N_uredništvo,_N_stav _N_uredništvo,_NOUN_editorial_NOUN_board,1,0
_N_baza _N_podatak kao,_V_bazati _N_podatak kao,_N_podatak _PREF_iz _V_bazati _N_podatak,_NOUN_td_NOUN_database,1,0
_PREF_o _A_bibliotečki _N_poslovanje,_A_bibliotečki _N_poslovanje,_A_bibliotečki _N_poslovanje,_NOUN_library_NOUN_work,1,1
_N_apstrakt sa _N_cilj,_N_apstrakt sa _N_cilj,_N_apstrakt _N_cilj,_NOUN_abstract,0,0
_PREF_i _A_akademski _N_ustanova,_A_akademski _N_ustanova,_A_akademski _N_ustanova,_ADJ_academic_NOUN_institution,1,1
_A_izdavački _V_kućiti,_PREF_i _A_izdavački _N_kuća,_A_izdavački _N_kuća,_NOUN_publishing_NOUN_house,1,1
_A_bibliografski _N_baza,_PREF_iz _A_bibliografski _V_bazati _PREF_i,_A_bibliografski _V_bazati,_ADJ_bibliographic_NOUN_database,0,1
_A_tvrd _N_disko,_A_tvrd _N_disko,_A_tvrd _N_disko,_ADV_hard_VERB_disc,1,1
_A_hardverski _V_opremati,_A_hardverski _V_opremati,_A_hardverski _V_opremati,_NOUN_hardware_NOUN_equipment,1,1
_N_biblioteka _N_grad,_N_biblioteka _N_grad,_N_biblioteka _N_grad,_NOUN_city_NOUN_library,0,1
_N_termin _PREF_za _N_pretraga,_N_termin _PREF_za _N_pretraga,_N_termin _PREF_za _N_pretraga,_NOUN_search_NOUN_term,0,1
_N_pokazatelj _N_učinak _N_biblioteka,_N_pokazatelj _N_učinak _N_biblioteka,_N_pokazatelj _N_učinak _N_biblioteka,_NOUN_library_NOUN_performance_NOUN_indicator,1,1
_N_katalogizacija _N_signatura,_N_katalogizacija _N_signatura,_N_katalogizacija _N_signatura,_VERB_cataloguing,0,0
_N_nosač _N_zvuk,_N_nosač _N_zvuk,_N_nosač _N_zvuk,_NOUN_sound_VERB_recording,0,0
_PRO_koji _PRO_sebe _A_tvrd _N_disk,_PRO_koji _PRO_sebe _A_tvrd _N_disk,_A_tvrd _N_disk,_ADV_hard_VERB_disk,1,1
_PREF_i _PREF_za _A_obrazovni _N_svrha,_PREF_i _PREF_za _A_obrazovni _N_svrha,_A_obrazovni _N_svrha,_ADJ_educational_NOUN_purpose,1,1
_N_ugovor _PREF_o _A_autorski _A_prav,_N_ugovor _PREF_o _A_autorski _A_prav _PREF_i,_N_ugovor _PREF_o _A_autorski _A_prav,_NOUN_wipo_VERB_copyright_NOUN_treaty,1,0
_N_biblioteka _PRO_ona _N_primer,_N_biblioteka sa _N_primer,_N_primer _N_biblioteka,_NOUN_example_ADP_of_NOUN_library,1,1
_N_servis _PREF_na _N_veb,_N_servis _PREF_na _N_veb,_N_veb _N_servis,_NOUN_internet_NOUN_service,1,0
_A_maternji _N_jezik,_A_maternji _N_jezik,_A_maternji _N_jezik,_ADJ_native_NOUN_language,1,1
_N_problem _V_izborati,_N_problem _N_izbor,_N_problem _N_izbor,_VERB_selecting,0,0
